Date,Sentiment
2023.07.27,0.207900208
2023.08.03,0.27665
2023.08.10,0.191977192
2023.08.17,0.057534
2023.08.24,-0.036614
2023.08.31,-0.014389
2023.09.07,0.126028
2023.09.14,0.051948
2023.09.21,-0.033079
2023.09.28,-0.131513
2023.10.05,-0.114796115
2023.10.12,0.035135
2023.10.19,-0.005495
2023.10.26,-0.138958
2023.11.02,-0.259668
2023.11.09,0.153847
2023.11.16,0.156757
2023.11.23,0.216524217
2023.11.30,0.291926
2023.12.07,0.198924
2023.12.14,0.319884
2023.12.21,0.320334
2023.12.28,0.212658
2024.01.04,0.250653
2024.01.11,0.244216
2024.01.18,0.13615
2024.01.25,0.131707
2024.02.01,0.245334
2024.02.08,0.264623735
2024.02.15,0.15404
2024.02.22,0.180723
2024.02.29,0.251592
2024.03.07,0.299684
2024.03.14,0.240122
2024.03.21,0.160121
2024.03.28,0.27551
2024.04.04,0.250646
2024.04.11,0.193989
2024.04.18,0.043126
2024.04.25,-0.017994982
2024.05.02,0.059937
2024.05.09,0.17006817
2024.05.16,0.17608
2024.05.23,0.207237
2024.05.30,0.123288
2024.06.06,0.069853
2024.06.13,0.189189
2024.06.20,0.21865
2024.06.27,0.161416839
2024.07.04,0.156521
2024.07.11,0.27459
2024.07.18,0.293041
2024.07.25,0.114391
2024.08.01,0.196849803
2024.08.08,0.030888031
2024.08.15,0.136508
2024.08.22,0.27957
2024.08.29,0.241861
2024.09.05,0.204152
2024.09.12,0.088435
2024.09.19,0.244225
2024.09.26,0.259399
2024.10.03,0.181818182
2024.10.10,0.284584715
2024.10.18,0.200757
2024.10.24,0.077869078
